"creator","capacity","count","percentage","parking_facility_id","name","occupancy_id","created_at","updated_at"
"e540243",39,39,100,"b8af5973-68ad-4f04-8429-adac21d399a1","St. Gallen","16b88b38-2dc8-47ec-8779-3892f2b41f73","2021-10-12 14:55:00+00","2021-10-12 14:55:00+00"
"e522023",8,1,13,"951299a8-110d-410c-a4a8-25865f3a037b","Bern Wankdorf","505b7058-849a-41c0-bf43-91faa1f4c463","2021-10-13 06:54:00+00","2021-10-13 06:54:00+00"
"ue73467",49,7,14,"0262fce7-fb16-454e-bdc3-1332e2faa554","La Plaine","c36427c5-b83d-43b6-a3b9-64f3fd99de67","2021-10-13 07:00:00+00","2021-10-13 07:00:00+00"
"e504344",8,2,25,"951299a8-110d-410c-a4a8-25865f3a037b","Bern Wankdorf","82b047d9-1ca7-478b-be24-51f7ad76bee1","2021-10-14 07:21:00+00","2021-10-14 07:21:00+00"
"e522445",69,6,9,"91a92bbe-73d1-4f8e-a5ea-7ab9c69d9bf7","Villeneuve","52b0cbad-874c-4dae-8594-56d3c0340bb4","2021-04-16 17:12:00+00","2021-04-16 17:12:00+00"
"ue53969",326,44,13,"6a259e8f-ac2f-4599-8fb3-22a063113df3","Sargans","86c251eb-8994-46bd-9fee-ba98f89b5274","2021-04-27 07:19:00+00","2021-04-27 07:19:00+00"
"ue86332",10,3,30,"a754ff83-4ca4-42e9-b42b-38d8db21a566","Nottwil","b5813d7f-6978-4692-9e80-6b227976a816","2021-06-03 09:54:00+00","2021-06-03 09:54:00+00"
"e522446",34,5,15,"184e415b-4d76-4cfd-85c2-7dd5222563a4","Croy-Romainmôtier","b008cb76-54b7-4310-b4b4-cbbe2860b257","2021-07-23 11:09:00+00","2021-07-23 11:09:00+00"
"E535775",222,182,82,"60cbf54b-10ca-4927-9e27-d096bee4fc73","Mendrisio","ba74b56e-95cb-492e-b6e2-0bcd6ca17b52","2021-08-18 09:31:00+00","2021-08-18 09:31:00+00"
"E535775",222,202,91,"60cbf54b-10ca-4927-9e27-d096bee4fc73","Mendrisio","e32e4f25-3be7-4e68-8edf-81a118af299d","2021-08-25 08:10:00+00","2021-08-25 08:10:00+00"
"e521492",88,47,53,"6c1db299-8f0e-4301-8905-d46e77cd90a0","Gelterkinden","9d322830-eb8b-4753-934c-45db274c4e13","2021-08-31 06:59:00+00","2021-08-31 06:59:00+00"
"e504344",8,4,50,"951299a8-110d-410c-a4a8-25865f3a037b","Bern Wankdorf","40c21f71-4997-4bd2-af5c-c528ac26b612","2021-09-02 13:05:00+00","2021-09-02 13:05:00+00"
"E535775",31,7,23,"c097733e-b5a8-44ff-8ef4-431a09181090","Mezzovico","b2cb50bd-5bf7-4cb9-83ac-481678a2b0dd","2021-09-08 07:40:00+00","2021-09-08 07:40:00+00"
"e528191",16,4,25,"a0281196-d489-4784-b45b-d3143719e116","Oberrieden Dorf","291da1db-586c-49ee-8a97-0586393d74a7","2021-09-12 12:53:00+00","2021-09-12 12:53:00+00"
"e510884",8,5,63,"59b81ee9-8f68-4055-9ede-78f8166925f9","Littau","3c007f5e-b003-4755-91e3-0cff9a5b02cc","2021-09-14 10:38:00+00","2021-09-14 10:38:00+00"
"e522023",116,52,45,"f3c17938-040e-4d05-9365-4def94378b21","Lyss","e8d54c1d-00b1-4387-a1d4-2b0bf9898d43","2021-09-15 09:43:00+00","2021-09-15 09:43:00+00"
"e504344",32,14,44,"05b08dc8-b543-414c-9071-0d5a4b9f37d3","Zollikofen (SBB)","26cd04d6-9977-4ddf-8177-8c6abf58b11a","2021-09-20 07:00:00+00","2021-09-20 07:00:00+00"
"ue73467",46,31,67,"8b1841ab-0395-46f8-920d-c9b1a044c4e1","La Chaux-de-Fonds","9c56902d-4757-4086-9789-774617b582fa","2021-09-27 14:35:00+00","2021-09-27 14:35:00+00"
"ue73467",69,11,16,"91a92bbe-73d1-4f8e-a5ea-7ab9c69d9bf7","Villeneuve","fb65bce6-2097-4ce6-8502-f9865b0bdfb6","2021-09-28 18:07:00+00","2021-09-28 18:07:00+00"
"e504730",82,77,94,"f4af04aa-ca2a-4e2c-8a31-08c953fe1aba","Wolhusen","3cdb0163-7e0d-451b-9c14-8f9eca0bf89a","2021-09-29 12:36:00+00","2021-09-29 12:36:00+00"
"u223758",43,43,100,"97433a48-0376-4e1c-9eca-98ab8d63cadb","Horgen","b36670d1-03c8-486c-b5aa-d1c31a802d19","2020-09-22 07:41:00+00","2020-09-22 07:41:00+00"
"u223758",180,171,95,"8bf5f03e-3513-43db-a448-f41cb43a35f4","Rapperswil ","18b0a773-0509-43af-aad3-3c87ac9695f8","2020-10-18 14:15:00+00","2020-10-18 14:15:00+00"
"u232830",83,28,34,"0b9ffa68-ce40-4504-9242-8859d17a7ea6","Grenchen Süd","fb79731b-a26c-42cd-9f47-6736d2dbeeda","2020-12-03 07:15:00+00","2020-12-03 07:15:00+00"
"ue08618",66,7,11,"3fd55fab-7ffb-413d-9f58-b3b9baf159ac","Wildegg","e0448d81-62a5-4d0f-b8b6-30d6a9655891","2021-03-03 11:17:00+00","2021-03-03 11:17:00+00"
"ue30420",243,23,9,"3b5c5ed9-43b9-4b32-b7b6-5ebd21254ba0","Liestal","571358e4-ba70-42a0-a06e-e9309e06b38e","2021-03-07 09:01:00+00","2021-03-07 09:01:00+00"
