,12h,24h,7d,date
362,24.50352,26.090252,25.299631,2021-06-11 08:00:00
363,30.642008,40.085762,40.16153,2021-06-11 09:00:00
364,64.85245,63.926,63.926,2021-06-11 10:00:00
365,78.593895,80.77366,79.02825,2021-06-11 11:00:00
366,83.687706,84.52877,83.554634,2021-06-11 12:00:00
367,82.86917,83.324974,83.144684,2021-06-11 13:00:00
368,84.59659,84.04812,84.21167,2021-06-11 14:00:00
369,86.46923,85.71155,86.51345,2021-06-11 15:00:00
370,84.845116,83.70393,84.82237,2021-06-11 16:00:00
371,75.5289,76.28425,75.68975,2021-06-11 17:00:00
372,63.576042,62.967873,61.401436,2021-06-11 18:00:00
373,55.351208,51.80325,51.148094,2021-06-11 19:00:00
374,51.595345,51.221863,48.00433,2021-06-11 20:00:00
375,54.595795,47.553272,49.69971,2021-06-11 21:00:00
376,51.011192,48.228436,48.228436,2021-06-11 22:00:00
377,38.12935,38.71732,38.71732,2021-06-11 23:00:00
378,21.322807,23.344025,23.344025,2021-06-12 00:00:00
379,14.863137,14.7532625,14.7532625,2021-06-12 01:00:00
380,10.613183,11.730133,10.343952,2021-06-12 02:00:00
381,9.529655,9.916489,8.758008,2021-06-12 03:00:00
382,9.417866,10.013251,9.009937,2021-06-12 04:00:00
383,10.316854,9.035806,9.035806,2021-06-12 05:00:00
384,10.890714,10.826257,10.0943,2021-06-12 06:00:00
385,13.950493,14.729027,13.650147,2021-06-12 07:00:00
386,15.872351,20.858978,18.651247,2021-06-12 08:00:00
387,21.86614,35.97813,29.8516,2021-06-12 09:00:00
388,18.639872,57.552483,50.443943,2021-06-12 10:00:00
389,23.128231,73.03123,67.963326,2021-06-12 11:00:00
390,44.65098,82.69696,80.90339,2021-06-12 12:00:00
391,74.53026,86.015915,84.924,2021-06-12 13:00:00
392,84.38402,88.534096,87.290306,2021-06-12 14:00:00
393,88.131546,86.775314,88.91978,2021-06-12 15:00:00
394,87.76541,88.19248,88.156136,2021-06-12 16:00:00
395,85.60931,79.01106,83.974884,2021-06-12 17:00:00
396,71.94592,62.81642,67.62181,2021-06-12 18:00:00
397,59.42802,52.885902,51.60307,2021-06-12 19:00:00
398,48.03678,44.220776,42.94518,2021-06-12 20:00:00
399,36.494404,41.82499,41.283478,2021-06-12 21:00:00
400,26.985666,36.800793,32.039005,2021-06-12 22:00:00
401,19.696627,24.27862,22.086683,2021-06-12 23:00:00
402,18.87096,15.600477,15.593578,2021-06-13 00:00:00
403,13.147074,11.620273,12.331709,2021-06-13 01:00:00
404,10.394626,9.550599,10.794241,2021-06-13 02:00:00
405,8.740465,8.524851,9.432964,2021-06-13 03:00:00
406,8.69766,8.678324,9.396253,2021-06-13 04:00:00
407,8.5432,8.474721,9.174408,2021-06-13 05:00:00
408,9.433624,9.764208,10.193704,2021-06-13 06:00:00
409,10.688305,11.195631,11.804413,2021-06-13 07:00:00
410,13.357958,14.425981,13.935533,2021-06-13 08:00:00
411,15.924926,18.366234,16.700508,2021-06-13 09:00:00
412,17.596588,26.698257,23.540249,2021-06-13 10:00:00
413,26.627102,37.49245,35.293545,2021-06-13 11:00:00
414,37.088596,48.438396,50.757935,2021-06-13 12:00:00
415,44.97054,60.4865,69.30452,2021-06-13 13:00:00
416,67.72691,72.39683,84.00269,2021-06-13 14:00:00
417,71.299,83.35464,88.4932,2021-06-13 15:00:00
418,83.45263,87.2154,87.01014,2021-06-13 16:00:00
419,78.345665,77.93725,83.21896,2021-06-13 17:00:00
420,64.075325,62.58152,69.565186,2021-06-13 18:00:00
421,51.515636,43.957626,48.271793,2021-06-13 19:00:00
422,36.905945,30.062288,33.001934,2021-06-13 20:00:00
423,22.297777,22.86662,28.44194,2021-06-13 21:00:00
424,18.263428,19.94181,18.311703,2021-06-13 22:00:00
425,14.552479,14.438768,14.571742,2021-06-13 23:00:00
426,12.910304,12.706419,12.910304,2021-06-14 00:00:00
427,10.754947,10.707052,11.071613,2021-06-14 01:00:00
428,9.565696,9.310114,9.721489,2021-06-14 02:00:00
429,8.575559,8.876919,9.17025,2021-06-14 03:00:00
430,9.12805,9.129336,9.181447,2021-06-14 04:00:00
431,8.978611,9.486724,9.932467,2021-06-14 05:00:00
432,11.4658785,11.2702265,11.927882,2021-06-14 06:00:00
433,12.634402,14.811393,15.341107,2021-06-14 07:00:00
434,21.295162,24.161873,24.544289,2021-06-14 08:00:00
435,40.556454,41.434616,41.47465,2021-06-14 09:00:00
436,64.633125,65.70383,65.70383,2021-06-14 10:00:00
437,76.36408,76.61843,76.61843,2021-06-14 11:00:00
438,80.9094,81.08908,81.08908,2021-06-14 12:00:00
439,80.308624,80.26857,80.26857,2021-06-14 13:00:00
440,85.41794,80.633064,80.633064,2021-06-14 14:00:00
441,87.81815,82.93453,83.393364,2021-06-14 15:00:00
442,85.61467,85.50978,85.03441,2021-06-14 16:00:00
443,75.23113,78.63511,75.11452,2021-06-14 17:00:00
444,61.134182,59.085014,58.026978,2021-06-14 18:00:00
445,45.86966,45.642128,43.97589,2021-06-14 19:00:00
446,35.35765,35.454357,35.38741,2021-06-14 20:00:00
447,29.148142,30.283894,30.283894,2021-06-14 21:00:00
448,19.130995,21.818302,21.818302,2021-06-14 22:00:00
449,17.141556,16.674726,16.62444,2021-06-14 23:00:00
450,13.503013,13.488022,13.488022,2021-06-15 00:00:00
451,11.194133,11.167599,11.16495,2021-06-15 01:00:00
452,9.5702715,9.599149,9.53633,2021-06-15 02:00:00
453,8.916626,8.916626,8.926728,2021-06-15 03:00:00
454,9.082975,9.078373,9.078373,2021-06-15 04:00:00
455,9.47203,9.432168,9.432168,2021-06-15 05:00:00
456,10.764669,10.771211,10.775188,2021-06-15 06:00:00
457,12.167684,14.040061,14.040061,2021-06-15 07:00:00
458,24.538813,22.985226,22.985226,2021-06-15 08:00:00
459,38.19167,41.34295,41.5577,2021-06-15 09:00:00
460,60.694195,65.35674,66.118,2021-06-15 10:00:00
461,77.17684,77.18827,79.53397,2021-06-15 11:00:00
462,80.834885,80.89298,82.452286,2021-06-15 12:00:00
463,78.342354,80.12563,82.14997,2021-06-15 13:00:00
