,12h,24h,7d,date
306,7.448511,11.061671,,2021-08-29 16:00:00
307,12.861881,9.880615,,2021-08-29 17:00:00
308,8.017563,7.780516,,2021-08-29 18:00:00
309,7.785483,8.074424,,2021-08-29 19:00:00
310,7.282863,6.498907,,2021-08-29 20:00:00
311,7.017849,7.018576,,2021-08-29 21:00:00
312,7.0390725,6.8090897,,2021-08-29 22:00:00
313,6.6019964,6.6675944,,2021-08-29 23:00:00
314,7.677503,7.984788,,2021-08-30 00:00:00
315,7.8762574,8.753335,,2021-08-30 01:00:00
316,7.51984,8.340093,,2021-08-30 02:00:00
317,8.953301,8.662173,,2021-08-30 03:00:00
318,7.310719,7.1959915,,2021-08-30 04:00:00
319,12.017257,11.137006,,2021-08-30 05:00:00
320,26.333752,24.977217,,2021-08-30 06:00:00
321,39.38963,37.092484,,2021-08-30 07:00:00
322,43.956795,40.879993,,2021-08-30 08:00:00
323,47.62574,48.427105,,2021-08-30 09:00:00
324,52.039967,49.800545,,2021-08-30 10:00:00
325,49.727577,46.51675,,2021-08-30 11:00:00
326,47.95446,47.25525,,2021-08-30 12:00:00
327,49.380806,47.073257,,2021-08-30 13:00:00
328,47.833115,44.36734,,2021-08-30 14:00:00
329,44.95026,47.073967,,2021-08-30 15:00:00
330,36.831013,39.550083,,2021-08-30 16:00:00
331,25.839918,25.356777,,2021-08-30 17:00:00
332,16.976362,15.978361,,2021-08-30 18:00:00
333,10.851129,9.158292,,2021-08-30 19:00:00
334,8.443152,7.8207297,,2021-08-30 20:00:00
335,6.499434,6.23033,,2021-08-30 21:00:00
336,4.833655,4.7554884,,2021-08-30 22:00:00
337,3.95375,4.0769477,,2021-08-30 23:00:00
338,5.1868377,5.136581,,2021-08-31 00:00:00
339,6.1745043,5.5212383,,2021-08-31 01:00:00
340,7.0584855,5.3640833,,2021-08-31 02:00:00
341,7.223272,5.3650203,,2021-08-31 03:00:00
342,6.8232117,6.5204678,,2021-08-31 04:00:00
343,11.561272,10.661026,,2021-08-31 05:00:00
344,28.33329,26.23674,,2021-08-31 06:00:00
345,44.438824,40.54293,,2021-08-31 07:00:00
346,53.763493,48.307766,,2021-08-31 08:00:00
347,50.510174,58.024662,,2021-08-31 09:00:00
348,54.50939,58.322334,,2021-08-31 10:00:00
349,53.55001,57.68332,,2021-08-31 11:00:00
350,61.164215,58.343033,,2021-08-31 12:00:00
351,58.917862,56.245777,,2021-08-31 13:00:00
352,56.507782,55.28576,,2021-08-31 14:00:00
353,53.098564,51.15529,,2021-08-31 15:00:00
354,42.89225,41.47241,,2021-08-31 16:00:00
355,30.8593,27.843943,,2021-08-31 17:00:00
356,19.952148,20.1611,,2021-08-31 18:00:00
357,13.524242,13.534122,,2021-08-31 19:00:00
358,9.87343,10.950152,,2021-08-31 20:00:00
359,8.195786,8.383421,,2021-08-31 21:00:00
360,6.9424987,6.7709875,,2021-08-31 22:00:00
361,5.1911807,5.6500545,,2021-08-31 23:00:00
362,5.7395096,6.3808837,,2021-09-01 00:00:00
363,6.750653,7.6986947,,2021-09-01 01:00:00
364,7.0446253,6.9324923,,2021-09-01 02:00:00
365,6.5632286,6.8144445,,2021-09-01 03:00:00
366,6.539355,6.7508144,,2021-09-01 04:00:00
367,11.773671,11.311046,,2021-09-01 05:00:00
368,26.100128,25.598946,,2021-09-01 06:00:00
369,41.16925,41.55742,,2021-09-01 07:00:00
370,51.461926,51.466507,,2021-09-01 08:00:00
371,56.808556,57.10894,,2021-09-01 09:00:00
372,58.24846,58.428566,,2021-09-01 10:00:00
373,61.006447,57.169426,,2021-09-01 11:00:00
374,57.687515,57.664967,,2021-09-01 12:00:00
375,58.743732,57.535744,,2021-09-01 13:00:00
376,55.565662,55.02041,,2021-09-01 14:00:00
377,49.65626,49.744164,,2021-09-01 15:00:00
378,37.85256,38.06842,,2021-09-01 16:00:00
